wages_by_education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,less_than_hs,high_school,some_college,bachelors_degree,advanced_degree,men_less_than_hs,men_high_school,men_some_college,men_bachelors_degree,men_advanced_degree,women_less_than_hs,women_high_school,women_some_college,women_bachelors_degree,women_advanced_degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,16.52,21.94,24.81,41.6,53.22,17.99,24.08,27.96,49.01,63.51,14.33,18.93,21.76,34.39,44.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,16.74,22.28,24.92,41.32,53.45,18.34,24.36,27.96,47.83,63.52,14.36,19.36,21.97,35.08,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,17.02,22.7,25.44,41.65,53.74,18.76,25.09,28.55,48.15,62.7,14.4,19.35,22.35,35.41,46.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,16.11,21.64,24,39.61,51.57,17.55,23.99,26.99,45.74,59.93,13.96,18.48,21.09,33.8,44.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,15.94,21.5,23.7,38.87,51.03,17.7,23.72,26.61,44.97,59.73,13.36,18.49,20.91,33.03,43.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,15.92,21.26,23.31,38.65,49.4,17.63,23.47,25.91,44.5,56.77,13.39,18.31,20.83,33.01,42.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,15.45,21,23.35,38.73,49.64,16.95,23.01,25.98,44.98,57.71,13.11,18.33,20.89,32.66,42.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,15.25,20.81,23.17,37.96,48.42,16.63,22.93,25.99,43.47,56.32,13.09,18.05,20.54,32.54,41.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,14.66,20.34,22.48,36.47,47.27,15.95,22.4,24.96,41.14,54.63,12.6,17.72,20.14,31.98,40.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,14.62,20.31,22.5,37,48.54,15.86,22.28,25.07,42.34,56.35,12.62,17.84,20.12,31.79,41.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,14.8,20.5,22.56,36.76,48.47,16.15,22.65,25.05,42.25,56.26,12.72,17.82,20.26,31.45,40.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,14.96,20.67,22.9,36.44,47.56,16.16,22.81,25.34,41.41,54.15,13.07,18.01,20.64,31.63,41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,15.04,21.06,23.56,37.42,48.8,16.32,23.28,26.24,42.71,55.87,13.08,18.43,21.16,32.33,41.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,15.41,21.42,23.82,37.3,49.12,16.91,23.74,26.75,43.04,56.35,13.14,18.7,21.22,31.84,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,15.08,20.93,23.52,37.04,47.55,16.56,23.3,26.32,42.34,54.06,12.8,18.09,20.99,31.83,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,15.19,21.04,23.84,37.23,47.31,16.6,23.39,26.66,42.55,53.61,12.96,18.26,21.25,31.96,40.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,14.9,21.17,23.69,36.99,47.23,16.31,23.55,26.39,41.97,53.5,12.71,18.32,21.22,32.08,40.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,14.96,21.07,23.76,36.89,47.09,16.46,23.34,26.49,41.96,53.29,12.64,18.41,21.25,31.82,40.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,15.13,21.33,24.11,36.78,47.48,16.66,23.74,27.03,41.74,53.92,12.77,18.59,21.46,31.66,40.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,15.27,21.5,24.19,37.14,46.79,16.79,23.89,27.04,42.18,52.49,12.97,18.85,21.6,32,40.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,15.18,21.39,24.25,37.26,47.36,16.7,23.92,27.1,42.36,53.17,12.93,18.59,21.59,32.01,40.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,14.88,21.1,24.05,37.07,46.23,16.23,23.67,27.12,42.14,51.54,12.9,18.28,21.18,31.72,39.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,14.67,20.8,23.68,36.44,45.99,16.13,23.48,26.78,41.41,51.48,12.52,17.87,20.76,31.19,39.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
